:MSR 	2  # No. of measurement in file
:SYS BDS 0 # Beam Data Scanner System
#
# RFA300 ASCII Measurement Dump (BDS format)# #
# Measurement number 	1
#
%VNR 1.0
%MOD 
%TYP 	SCN
%SCN 	PRO
%FLD 	ION
%DAT 	02-01-2018
%TIM 	11:13:39
%FSZ 	40	40
%BMT 	PHO	4.0
%SSD 	1000
%BUP 	0
%BRD 	1000
%FSH 	-1
%ASC 	0
%WEG 	60
%GP0 	0
%CPO 	0
%MEA 	1
%PRD 	0
%PTS 	57
%STS 	     0.0	  -112.0	    12.0 # Start Scan values in mm ( X , Y , Z )
%EDS 	     0.0	   112.0	    12.0 # End Scan values in mm ( X , Y , Z )
!
!
#
#	  X      Y      Z Dose
#
= 	     0.0  -112.0    12.0     0.1
= 	     0.0  -108.0    12.0     0.1
= 	     0.0  -104.0    12.0     0.1
= 	     0.0  -100.0    12.0     0.1
= 	     0.0   -96.0    12.0     0.1
= 	     0.0   -92.0    12.0     0.1
= 	     0.0   -88.0    12.0     0.1
= 	     0.0   -84.0    12.0     0.1
= 	     0.0   -80.0    12.0     0.2
= 	     0.0   -76.0    12.0     0.2
= 	     0.0   -72.0    12.0     0.2
= 	     0.0   -68.0    12.0     0.2
= 	     0.0   -64.0    12.0     0.2
= 	     0.0   -60.0    12.0     0.2
= 	     0.0   -56.0    12.0     0.2
= 	     0.0   -52.0    12.0     0.4
= 	     0.0   -48.0    12.0     0.4
= 	     0.0   -44.0    12.0     0.4
= 	     0.0   -40.0    12.0     0.5
= 	     0.0   -36.0    12.0     0.7
= 	     0.0   -32.0    12.0     0.9
= 	     0.0   -28.0    12.0     1.3
= 	     0.0   -24.0    12.0     2.6
= 	     0.0   -20.0    12.0    29.2
= 	     0.0   -16.0    12.0    37.5
= 	     0.0   -12.0    12.0    38.2
= 	     0.0    -8.0    12.0    38.4
= 	     0.0    -4.0    12.0    38.6
= 	     0.0     0.0    12.0    38.4
= 	     0.0     4.0    12.0    38.4
= 	     0.0     8.0    12.0    38.3
= 	     0.0    12.0    12.0    38.0
= 	     0.0    16.0    12.0    37.4
= 	     0.0    20.0    12.0    22.9
= 	     0.0    24.0    12.0     2.2
= 	     0.0    28.0    12.0     1.3
= 	     0.0    32.0    12.0     0.9
= 	     0.0    36.0    12.0     0.7
= 	     0.0    40.0    12.0     0.6
= 	     0.0    44.0    12.0     0.4
= 	     0.0    48.0    12.0     0.3
= 	     0.0    52.0    12.0     0.3
= 	     0.0    56.0    12.0     0.3
= 	     0.0    60.0    12.0     0.2
= 	     0.0    64.0    12.0     0.2
= 	     0.0    68.0    12.0     0.2
= 	     0.0    72.0    12.0     0.2
= 	     0.0    76.0    12.0     0.2
= 	     0.0    80.0    12.0     0.1
= 	     0.0    84.0    12.0     0.1
= 	     0.0    88.0    12.0     0.1
= 	     0.0    92.0    12.0     0.1
= 	     0.0    96.0    12.0     0.1
= 	     0.0   100.0    12.0     0.1
= 	     0.0   104.0    12.0     0.1
= 	     0.0   108.0    12.0     0.1
= 	     0.0   112.0    12.0     0.1
:EOM #
# #
# Measurement number 	2
#
%VNR 1.0
%MOD 
%TYP 	SCN
%SCN 	PRO
%FLD 	ION
%DAT 	02-01-2018
%TIM 	11:13:39
%FSZ 	40	40
%BMT 	PHO	4.0
%SSD 	1000
%BUP 	0
%BRD 	1000
%FSH 	-1
%ASC 	0
%WEG 	60
%GP0 	0
%CPO 	0
%MEA 	1
%PRD 	0
%PTS 	83
%STS 	  -164.0	     0.0	    12.0 # Start Scan values in mm ( X , Y , Z )
%EDS 	   164.0	     0.0	    12.0 # End Scan values in mm ( X , Y , Z )
!
!
#
#	  X      Y      Z Dose
#
= 	  -164.0     0.0    12.0     0.1
= 	  -160.0     0.0    12.0     0.1
= 	  -156.0     0.0    12.0     0.1
= 	  -152.0     0.0    12.0     0.1
= 	  -148.0     0.0    12.0     0.1
= 	  -144.0     0.0    12.0     0.1
= 	  -140.0     0.0    12.0     0.1
= 	  -136.0     0.0    12.0     0.1
= 	  -132.0     0.0    12.0     0.1
= 	  -128.0     0.0    12.0     0.1
= 	  -124.0     0.0    12.0     0.1
= 	  -120.0     0.0    12.0     0.1
= 	  -116.0     0.0    12.0     0.1
= 	  -112.0     0.0    12.0     0.1
= 	  -108.0     0.0    12.0     0.1
= 	  -104.0     0.0    12.0     0.2
= 	  -100.0     0.0    12.0     0.2
= 	   -96.0     0.0    12.0     0.2
= 	   -92.0     0.0    12.0     0.1
= 	   -88.0     0.0    12.0     0.2
= 	   -84.0     0.0    12.0     0.2
= 	   -80.0     0.0    12.0     0.2
= 	   -76.0     0.0    12.0     0.2
= 	   -72.0     0.0    12.0     0.2
= 	   -68.0     0.0    12.0     0.3
= 	   -64.0     0.0    12.0     0.3
= 	   -60.0     0.0    12.0     0.3
= 	   -56.0     0.0    12.0     0.4
= 	   -52.0     0.0    12.0     0.4
= 	   -48.0     0.0    12.0     0.5
= 	   -44.0     0.0    12.0     0.6
= 	   -40.0     0.0    12.0     0.7
= 	   -36.0     0.0    12.0     0.8
= 	   -32.0     0.0    12.0     1.0
= 	   -28.0     0.0    12.0     1.3
= 	   -24.0     0.0    12.0     2.0
= 	   -20.0     0.0    12.0    13.3
= 	   -16.0     0.0    12.0    31.4
= 	   -12.0     0.0    12.0    33.6
= 	    -8.0     0.0    12.0    35.5
= 	    -4.0     0.0    12.0    36.7
= 	     0.0     0.0    12.0    38.4
= 	     4.0     0.0    12.0    40.0
= 	     8.0     0.0    12.0    41.7
= 	    12.0     0.0    12.0    43.1
= 	    16.0     0.0    12.0    43.5
= 	    20.0     0.0    12.0    28.9
= 	    24.0     0.0    12.0     2.8
= 	    28.0     0.0    12.0     1.7
= 	    32.0     0.0    12.0     1.1
= 	    36.0     0.0    12.0     0.9
= 	    40.0     0.0    12.0     0.8
= 	    44.0     0.0    12.0     0.6
= 	    48.0     0.0    12.0     0.4
= 	    52.0     0.0    12.0     0.5
= 	    56.0     0.0    12.0     0.4
= 	    60.0     0.0    12.0     0.3
= 	    64.0     0.0    12.0     0.3
= 	    68.0     0.0    12.0     0.3
= 	    72.0     0.0    12.0     0.2
= 	    76.0     0.0    12.0     0.2
= 	    80.0     0.0    12.0     0.2
= 	    84.0     0.0    12.0     0.3
= 	    88.0     0.0    12.0     0.2
= 	    92.0     0.0    12.0     0.1
= 	    96.0     0.0    12.0     0.2
= 	   100.0     0.0    12.0     0.1
= 	   104.0     0.0    12.0     0.1
= 	   108.0     0.0    12.0     0.2
= 	   112.0     0.0    12.0     0.1
= 	   116.0     0.0    12.0     0.1
= 	   120.0     0.0    12.0     0.1
= 	   124.0     0.0    12.0     0.1
= 	   128.0     0.0    12.0     0.1
= 	   132.0     0.0    12.0     0.1
= 	   136.0     0.0    12.0     0.1
= 	   140.0     0.0    12.0     0.1
= 	   144.0     0.0    12.0     0.1
= 	   148.0     0.0    12.0     0.1
= 	   152.0     0.0    12.0     0.1
= 	   156.0     0.0    12.0     0.1
= 	   160.0     0.0    12.0     0.1
= 	   164.0     0.0    12.0     0.1
:EOM #
:EOF # 
