#######################################################
#RayStationVersion:  	6.2.0.7
#PatientName:        	_CT Number Calibration_1
#PatientId:          	TOMO
#CoordinateSystem:   	IEC patient coordinate system
#######################################################
#LineName:           	1
#DoseName:           	Plan dose: TEST (CT 1)
#DoseEngine:         	Approximate: Collapsed Cone v3.4
#TreatmentMachine:   	Clinac-iXsn3694 Uncommissioned
#X [cm];Y [cm];Z [cm];Dose [cGy]
-10.510; -0.050; 0.107; 0.001
-10.500; -0.050; 0.107; 0.001
-10.490; -0.050; 0.107; 0.001
-10.480; -0.050; 0.107; 0.001
-10.470; -0.050; 0.107; 0.001
-10.460; -0.050; 0.107; 0.001
-10.450; -0.050; 0.107; 0.001
-10.440; -0.050; 0.107; 0.001
-10.430; -0.050; 0.107; 0.001
-10.420; -0.050; 0.107; 0.001
-10.410; -0.050; 0.107; 0.001
-10.400; -0.050; 0.107; 0.001
-10.390; -0.050; 0.107; 0.001
-10.380; -0.050; 0.107; 0.001
-10.370; -0.050; 0.107; 0.001
-10.360; -0.050; 0.107; 0.001
-10.350; -0.050; 0.107; 0.001
-10.340; -0.050; 0.107; 0.001
-10.330; -0.050; 0.107; 0.001
-10.320; -0.050; 0.106; 0.001
-10.310; -0.050; 0.106; 0.001
-10.300; -0.050; 0.106; 0.001
-10.290; -0.050; 0.106; 0.001
-10.280; -0.050; 0.106; 0.001
-10.270; -0.050; 0.106; 0.001
-10.260; -0.050; 0.106; 0.001
-10.250; -0.050; 0.106; 0.001
-10.240; -0.050; 0.106; 0.001
-10.230; -0.050; 0.106; 0.001
-10.220; -0.050; 0.106; 0.001
-10.210; -0.050; 0.106; 0.001
-10.200; -0.050; 0.106; 0.001
-10.190; -0.050; 0.106; 0.001
-10.180; -0.050; 0.106; 0.001
-10.170; -0.050; 0.106; 0.001
-10.160; -0.050; 0.106; 0.001
-10.150; -0.050; 0.106; 0.001
-10.140; -0.050; 0.106; 0.001
-10.130; -0.050; 0.106; 0.001
-10.120; -0.050; 0.105; 0.001
-10.110; -0.050; 0.105; 0.001
-10.100; -0.050; 0.105; 0.001
-10.090; -0.050; 0.105; 0.001
-10.080; -0.050; 0.105; 0.001
-10.070; -0.050; 0.105; 0.001
-10.060; -0.050; 0.105; 0.001
-10.050; -0.050; 0.105; 0.001
-10.040; -0.050; 0.105; 0.001
-10.030; -0.050; 0.105; 0.001
-10.020; -0.050; 0.105; 0.001
-10.010; -0.050; 0.105; 0.001
-10.000; -0.050; 0.105; 0.001
-9.990; -0.050; 0.105; 0.001
-9.980; -0.050; 0.105; 0.001
-9.970; -0.050; 0.105; 0.001
-9.960; -0.050; 0.105; 0.001
-9.950; -0.050; 0.105; 0.001
-9.940; -0.050; 0.105; 0.001
-9.930; -0.050; 0.104; 0.001
-9.920; -0.050; 0.104; 0.001
-9.910; -0.050; 0.104; 0.001
-9.900; -0.050; 0.104; 0.001
-9.890; -0.050; 0.104; 0.001
-9.880; -0.050; 0.104; 0.001
-9.870; -0.050; 0.104; 0.001
-9.860; -0.050; 0.104; 0.001
-9.850; -0.050; 0.104; 0.001
-9.840; -0.050; 0.104; 0.001
